start_station_name,end_station_name,trip_count,start_lat,start_lng,e_lat,e_lng
W 21 St & 6 Ave,W 15 St & 7 Ave,15441,40.74173969,-73.99415556,40.73935542,-73.99931783
Henry St & Grand St,Clinton St & Grand St,15292,40.714211,-73.981095,40.71559509,-73.9870295
2 Ave & E 72 St,E 72 St & York Ave,15277,40.7687620293096,-73.95840793848038,40.76663814,-73.95348296
Richardson St & N Henry St,Graham Ave & Conselyea St,15203,40.71907891179564,-73.94223690032959,40.715143,-73.944507
Central Park S & 6 Ave,5 Ave & E 72 St,15181,40.76590936,-73.97634151,40.77282817,-73.96685276
Southpoint Park,Southpoint Park,15146,40.75358355,-73.958857775,40.75370225419114,-73.95865201950072
Picnic Point,Soissons Landing,15028,40.685126,-74.025353,40.692317,-74.014866
E 33 St & 1 Ave,E 32 St & Park Ave,15006,40.74322681432173,-73.97449783980846,40.7457121,-73.98194829
S 3 St & Bedford Ave,N 6 St & Bedford Ave,14987,40.71260486,-73.96264403,40.71745169,-73.95850939
E 33 St & 1 Ave,W 31 St & 7 Ave,14979,40.74322681432173,-73.97449783980846,40.749156,-73.9916
12 Ave & W 40 St,10 Ave & W 14 St,14937,40.76087502,-74.00277668,40.74198159994023,-74.00831580162048
Riverside Blvd & W 67 St,Riverside Blvd & W 67 St,14851,40.777507027547976,-73.98888587951659,40.777507027547976,-73.98888587951659
W 21 St & 6 Ave,W 22 St & 8 Ave,14848,40.74173969,-73.99415556,40.74475148,-73.99915362
Center Blvd & 51 Ave,Vernon Blvd & 50 Ave,14799,40.74336608027021,-73.95960688591003,40.74232744,-73.95411749
W 70 St & Amsterdam Ave,W 64 St & Thelonious Monk Circle,14748,40.777408361,-73.982750893,40.77515953434235,-73.98918695747852
McGuinness Blvd & Eagle St,Vernon Blvd & 50 Ave,14744,40.73555,-73.95284,40.74232744,-73.95411749
6 Ave & W 33 St,E 33 St & 1 Ave,14717,40.748925328,-73.989154577,40.74322681432173,-73.97449783980846
Vesey Pl & River Terrace,North Moore St & Greenwich St,14715,40.7153379,-74.01658354,40.72019521437465,-74.0103006362915
11 Ave & W 41 St,8 Ave & W 33 St,14671,40.76030096,-73.99884222,40.751551,-73.993934
10 Ave & W 14 St,West St & Chambers St,14622,40.74198159994023,-74.00831580162048,40.71754834,-74.01322069
Franklin St & Dupont St,Vernon Blvd & 50 Ave,14522,40.73564,-73.95866,40.74232744,-73.95411749
Greenwich St & W Houston St,Pier 40 - Hudson River Park,14410,40.728846,-74.008591,40.7277140777778,-74.01129573583603
W 15 St & 6 Ave,W 21 St & 6 Ave,14263,40.738046142482766,-73.99642959237099,40.74173969,-73.99415556
11 Ave & W 41 St,11 Ave & W 41 St,14258,40.76030096,-73.99884222,40.76030096,-73.99884222
Vernon Blvd & 50 Ave,46 Ave & 5 St,14246,40.74232744,-73.95411749,40.74731,-73.95451
12 Ave & W 125 St,12 Ave & W 125 St,14217,40.818299,-73.960405,40.818299,-73.960405
Riverside Blvd & W 67 St,W 70 St & Amsterdam Ave,14111,40.777507027547976,-73.98888587951659,40.77748046,-73.98288594
E 102 St & 1 Ave,2 Ave & E 96 St,14095,40.7869946,-73.94164802,40.7839636,-73.9471673
E 33 St & 1 Ave,6 Ave & W 33 St,13994,40.74322681432173,-73.97449783980846,40.74901271,-73.98848395
W 16 St & The High Line,8 Ave & W 16 St,13811,40.74334935,-74.00681753,40.740983,-74.001702
Grand Army Plaza & Plaza St West,Grand Army Plaza & Plaza St West,13722,40.6729679,-73.97087984,40.6729679,-73.97087984
E 48 St & 5 Ave,W 41 St & 8 Ave,13689,40.75724567911726,-73.97805914282799,40.75640548,-73.9900262
Motorgate,Motorgate,13667,40.7639089,-73.9477213,40.7639089,-73.9477213
